asv_id,total_reads
1SO10891,6.0
1SO10895,5.0
1SO109,1.0
1SO1090,266.0
1SO10902,1.0
1SO10903,1.0
1SO10904,1.0
1SO10907,6.0
1SO1091,879.0
1SO1092,855.0
1SO10920,6.0
1SO10921,6.0
1SO10929,6.0
1SO1094,874.0
1SO10949,6.0
1SO1095,4.0
1SO10954,6.0
1SO1096,219.0
1SO10964,6.0
1SO1097,9.0
1SO10974,6.0
1SO10977,6.0
1SO10978,6.0
1SO10979,6.0
1SO10981,6.0
1SO10987,2.0
1SO10989,3.0
1SO1099,866.0
1SO10992,6.0
1SO10994,6.0
1SO10998,6.0
1SO11,2.0
1SO110,3.0
1SO1100,867.0
1SO11001,6.0
1SO11003,6.0
1SO11009,6.0
1SO1101,867.0
1SO11010,6.0
1SO11015,6.0
1SO11018,6.0
1SO1102,865.0
1SO11021,6.0
1SO11024,6.0
1SO11027,6.0
1SO11028,6.0
1SO11030,6.0
1SO11032,6.0
1SO11034,6.0
1SO11035,6.0
1SO11036,6.0
1SO1104,861.0
1SO11040,6.0
1SO11041,6.0
1SO11045,6.0
1SO11048,6.0
1SO1105,861.0
1SO11050,6.0
1SO11051,6.0
1SO11054,6.0
1SO11058,6.0
1SO1106,860.0
1SO11062,6.0
1SO11065,6.0
1SO1107,860.0
1SO11073,6.0
1SO11075,6.0
1SO11076,6.0
1SO11078,6.0
1SO11079,6.0
1SO1108,1.0
1SO11081,6.0
1SO11082,6.0
1SO11083,6.0
1SO11089,6.0
1SO1109,41.0
1SO11092,6.0
1SO11093,6.0
1SO111,2.0
1SO1110,854.0
1SO11100,5.0
1SO11101,5.0
1SO11103,5.0
1SO11104,1.0
1SO11105,5.0
1SO11106,5.0
1SO11107,5.0
1SO11108,5.0
1SO11110,5.0
1SO11111,1.0
1SO11115,5.0
1SO11119,5.0
1SO11121,5.0
1SO11123,5.0
1SO11127,5.0
1SO11128,5.0
1SO11133,5.0
1SO11137,5.0
1SO1114,1.0
1SO11140,5.0
1SO11141,5.0
1SO11143,5.0
1SO11146,5.0
1SO11148,5.0
1SO1115,841.0
1SO11151,5.0
1SO11158,5.0
1SO1116,826.0
1SO11160,5.0
1SO11161,5.0
1SO11165,5.0
1SO11166,5.0
1SO11167,5.0
1SO11168,5.0
1SO11171,5.0
1SO11172,5.0
1SO11175,5.0
1SO11178,2.0
1SO11179,5.0
1SO1118,784.0
1SO11184,5.0
1SO11185,5.0
1SO11186,5.0
1SO11188,5.0
1SO11189,5.0
1SO1119,158.0
1SO11191,5.0
1SO11194,5.0
1SO11197,5.0
1SO112,5.0
1SO11202,5.0
1SO11208,5.0
1SO1121,831.0
1SO11212,5.0
1SO11213,5.0
1SO11217,3.0
1SO1122,3.0
1SO11220,5.0
1SO11224,5.0
1SO11226,5.0
1SO11227,5.0
1SO11229,5.0
1SO1123,832.0
1SO11230,5.0
1SO11232,5.0
1SO11235,5.0
1SO11237,5.0
1SO11238,5.0
1SO1124,447.0
1SO11240,5.0
1SO11243,5.0
1SO11245,5.0
1SO11246,5.0
1SO11247,5.0
1SO11251,5.0
1SO11252,3.0
1SO11253,2.0
1SO11254,5.0
1SO11256,5.0
1SO11258,5.0
1SO11259,5.0
1SO1126,829.0
1SO11261,5.0
1SO11262,5.0
1SO11267,4.0
1SO11268,5.0
1SO11269,5.0
1SO11270,5.0
1SO11273,5.0
1SO11276,5.0
1SO11277,5.0
1SO11278,5.0
1SO11280,5.0
1SO11282,5.0
1SO1129,828.0
1SO11293,5.0
1SO11294,5.0
1SO11295,5.0
1SO11296,5.0
1SO113,5322.0
1SO11300,1.0
1SO11302,5.0
1SO11304,5.0
1SO11306,5.0
1SO11308,1.0
1SO11309,5.0
1SO1131,827.0
1SO11313,5.0
1SO11314,5.0
1SO11316,5.0
1SO11317,5.0
1SO11318,5.0
1SO11319,5.0
1SO11322,5.0
1SO11327,5.0
1SO11328,5.0
1SO11329,5.0
1SO11331,5.0
1SO11332,5.0
1SO11333,5.0
1SO11336,5.0
1SO1134,826.0
1SO11340,5.0
1SO11341,5.0
1SO11342,5.0
1SO11348,5.0
1SO11353,5.0
1SO11354,5.0
1SO11356,5.0
1SO11358,5.0
1SO1136,825.0
1SO11360,5.0
1SO11366,5.0
1SO11367,5.0
1SO11368,5.0
1SO11369,5.0
1SO11371,5.0
1SO11372,5.0
1SO11375,5.0
1SO11376,5.0
1SO11379,5.0
1SO11380,5.0
1SO11382,5.0
1SO11387,5.0
1SO11388,5.0
1SO1139,174.0
1SO11391,5.0
1SO11395,5.0
1SO11398,5.0
1SO11399,5.0
1SO114,2227.0
1SO11401,5.0
1SO11404,5.0
1SO11405,5.0
1SO11409,5.0
1SO1141,703.0
1SO11410,5.0
1SO11412,4.0
1SO11414,5.0
1SO11416,5.0
1SO11418,5.0
1SO11419,5.0
1SO11421,5.0
1SO11423,5.0
1SO11424,5.0
1SO11425,5.0
1SO11426,5.0
1SO11427,5.0
1SO11428,5.0
1SO11429,5.0
1SO11433,5.0
1SO11435,5.0
1SO1144,816.0
1SO11442,5.0
1SO11443,5.0
1SO11444,5.0
1SO11445,1.0
1SO11446,4.0
1SO11449,5.0
1SO11450,5.0
1SO11452,5.0
1SO11453,5.0
1SO11455,5.0
1SO11458,5.0
1SO11462,5.0
1SO11463,5.0
1SO11464,5.0
1SO11467,5.0
1SO11469,1.0
1SO1147,814.0
1SO11474,5.0
1SO11475,1.0
1SO11477,5.0
1SO11478,5.0
1SO11479,5.0
1SO11482,5.0
1SO11484,5.0
1SO1149,813.0
1SO11490,5.0
1SO11491,5.0
1SO11495,5.0
1SO115,3792.0
1SO11501,5.0
1SO11505,5.0
1SO11506,5.0
1SO11509,5.0
1SO1151,813.0
1SO11511,5.0
1SO11512,5.0
1SO11513,5.0
1SO11517,5.0
1SO11518,5.0
1SO1152,1.0
1SO11520,5.0
1SO11525,5.0
1SO11526,5.0
1SO11527,5.0
1SO11529,4.0
1SO11533,5.0
1SO11536,4.0
1SO11538,5.0
1SO11539,5.0
1SO1154,1.0
1SO11542,5.0
1SO11543,5.0
1SO11544,5.0
1SO11545,5.0
1SO11547,5.0
1SO11549,5.0
1SO1155,810.0
1SO11554,4.0
1SO11558,5.0
1SO1156,810.0
1SO11562,5.0
1SO11563,5.0
1SO11574,5.0
1SO11576,5.0
1SO11579,5.0
1SO11581,5.0
1SO11582,3.0
1SO11583,5.0
1SO11584,3.0
1SO11586,5.0
1SO11587,2.0
1SO11588,5.0
1SO11589,5.0
1SO11594,5.0
1SO11596,5.0
1SO116,58.0
1SO11600,5.0
1SO11601,5.0
1SO11602,3.0
1SO11603,5.0
1SO11604,5.0
1SO11609,5.0
1SO11612,5.0
1SO11614,1.0
1SO11615,5.0
1SO11616,5.0
1SO11624,1.0
1SO11626,5.0
1SO11627,5.0
1SO11629,4.0
1SO1163,802.0
1SO11632,5.0
1SO11633,5.0
1SO11640,5.0
1SO11646,5.0
1SO11647,4.0
1SO1165,800.0
1SO11650,4.0
1SO11657,5.0
1SO11658,5.0
1SO11659,5.0
1SO11660,5.0
1SO11667,4.0
1SO1167,799.0
1SO11672,5.0
1SO11675,5.0
1SO11676,5.0
1SO11677,5.0
1SO11680,5.0
1SO11681,5.0
1SO11682,5.0
1SO11683,4.0
1SO11684,3.0
1SO11685,3.0
1SO1169,799.0
1SO11691,2.0
1SO11693,2.0
1SO11694,5.0
1SO11697,3.0
1SO117,5203.0
1SO1170,362.0
1SO11702,5.0
1SO11706,1.0
1SO11707,5.0
1SO11708,5.0
1SO11709,1.0
1SO1171,798.0
1SO11711,5.0
1SO11713,5.0
1SO11715,5.0
1SO11716,5.0
1SO1172,2.0
1SO11722,5.0
1SO11723,1.0
1SO11726,5.0
1SO11727,5.0
1SO1173,794.0
1SO11731,5.0
1SO11734,5.0
1SO11736,5.0
1SO11738,5.0
1SO11739,5.0
1SO11746,5.0
1SO11748,5.0
1SO1175,792.0
1SO11750,5.0
1SO11752,5.0
1SO11754,5.0
1SO11756,5.0
1SO11758,5.0
1SO1176,789.0
1SO11763,5.0
1SO11765,5.0
1SO11766,5.0
1SO1177,16.0
1SO11775,5.0
1SO11778,5.0
1SO11779,5.0
1SO1178,787.0
1SO11783,5.0
1SO11784,5.0
1SO11786,5.0
1SO11789,5.0
1SO11790,3.0
1SO11794,5.0
1SO11795,5.0
1SO11796,5.0
1SO11798,5.0
1SO11799,5.0
1SO118,5178.0
1SO11806,5.0
1SO11808,5.0
1SO1181,1.0
1SO11810,5.0
1SO11811,5.0
1SO11812,5.0
1SO11818,5.0
1SO11820,5.0
1SO11822,5.0
1SO11823,5.0
1SO11824,5.0
1SO11826,5.0
1SO11827,5.0
1SO1183,2.0
1SO11830,5.0
1SO11837,2.0
1SO11838,5.0
1SO1184,780.0
1SO11840,5.0
1SO11841,5.0
1SO11846,3.0
1SO11849,5.0
1SO1185,778.0
1SO11852,5.0
1SO11853,5.0
1SO11855,5.0
1SO11856,5.0
1SO11858,5.0
1SO11859,5.0
1SO1186,776.0
1SO11861,5.0
1SO11862,5.0
1SO11863,5.0
1SO11864,5.0
1SO11866,5.0
1SO11869,5.0
1SO11870,5.0
1SO11877,5.0
1SO11878,5.0
1SO11879,5.0
1SO11881,5.0
1SO1189,773.0
1SO11891,5.0
1SO11898,1.0
1SO119,5173.0
1SO1190,2.0
1SO11900,5.0
1SO11901,2.0
1SO11902,3.0
1SO11905,5.0
1SO11908,4.0
1SO11909,5.0
1SO1191,771.0
1SO11910,5.0
1SO11911,5.0
1SO11919,5.0
1SO1192,770.0
1SO11920,5.0
1SO11921,5.0
1SO11922,5.0
1SO11923,5.0
1SO11924,5.0
1SO11927,5.0
1SO11928,5.0
1SO11929,5.0
1SO11930,5.0
1SO11932,2.0
1SO11933,5.0
1SO11935,5.0
1SO11936,4.0
1SO11938,3.0
1SO11939,5.0
1SO11944,5.0
1SO11947,5.0
1SO1195,766.0
1SO11951,5.0
